uid,summary
id_2024-AGENDA_6,선진 시군 비교견학 결과보고서를 채택함.
id_2024-AGENDA_7,제105회 임시회 휴회의 건은 회기 중 2000년도 이월 및 계속비 사업 현지 확인 활동을 하는 의사일정으로 갈음함.
id_2025-AGENDA_1,제61회 음성군의회 정기회 제1차 본회의 개의 선포.
id_2025-AGENDA_2,제61회 음성군의회 정기회의 회기는 11월 25일부터 12월 24일까지 30일간으로 가결됨.
id_2025-AGENDA_3,제7대 음성군의회 제1차 정례회 회의록 서명의원으로 김천봉 의원과 최관식 의원이 선출됨.
id_2025-AGENDA_4,"행정사무감사 특별위원회는 최관식 의원, 김우식 의원, 이덕우 의원, 박희남 의원, 권영득 의원, 홍재선 의원, 김천봉 의원으로 구성함. 특별위원회는 12월 26일 행정사무감사 계획서 작성과 11월"
id_2025-AGENDA_5,"예산결산 특별위원회는 최관식 의원, 김우식 의원, 이덕우 의원, 강대식 의원, 박희남 의원, 권영득 의원, 홍재선 의원, 김천봉 의원으로 구성함. 특별위원회는 본 정기회 기간 중 의사"
id_2025-AGENDA_6,제61회 음성군의회 정기회 휴회의 건은 행정사무감사 특별위원회 활동을 하는 의사일정으로 갈음함. 제2차 본회의는 제2차 본회의는 11월 27일 오전 10시에 개의.
id_2026-AGENDA_1,제218회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2026-AGENDA_2,음성군의회 제218회 임시회 회기는 10월 5일부터 10월 8일까지 4일간으로 가결됨.
id_2026-AGENDA_3,"제218회 임시회 회의록 서명의원으로 조천희 의원, 손달섭 의원이 선출됨."
id_2026-AGENDA_4,우수 시군 비교견학 특별위원회는 제2차 본회의를 맞이하여 타 자치단체의 시설을 비교견학하고 우수시책을 발굴하여 음성군 현안 사업에 반영하고자 제안됨. 해당 안건은 가결됨.
id_2026-AGENDA_5,제218회 임시회 휴회의 건은 회기 중 우수 시군을 비교견학의 일정으로 갈음함.
id_2027-AGENDA_1,제102회 음성군의회 제2차 정례회 제1차 본회의 개의 선포.
id_2027-AGENDA_2,제102회 음성군의회 제2차 정례회 회기는 12월 1일부터 12월 25일까지 25일간으로 가결됨.
id_2027-AGENDA_3,제102회 제2차 정례회 회의록 서명의원으로 고재협 의원과 김성채 의원이 선출됨.
id_2027-AGENDA_4,"행정사무감사특별위원회위원은 최관식 의원, 남궁유 의원, 김우식 의원, 고재협 의원, 김성채 의원, 진의장 의원, 이준구 의원, 김천봉 의원으로 구성함. 특별위원회는 12월 2일 행정사무감사"
id_2027-AGENDA_5,"예산결산특별위원회위원은 최관식 의원, 남궁유 의원, 김우식 의원, 고재협 의원, 김성채 의원, 진의장 의원, 이준구 의원, 김천봉 의원으로 구성함. 특별위원회는 제2차 정례회 기간 중"
id_2027-AGENDA_6,농가부채 해결을 위한 건의안은 농업인들의 농가부채로 인한 연쇄도산의 위기에 처해 있는 등 농업인들에게 최소한의 희망을 주기 위한 농가부채 해결을 위한 특단의 조치를 강구해 줄 것을 건의하고자 발의됨. 해당 안건은 채택
id_2027-AGENDA_7,제102회 음성군의회 제2차 정례회 휴회의 건은 행정사무감사 특별위원회 활동을 하는 의사일정으로 갈음함.
id_2028-AGENDA_1,제263회 제2차 정례회 제2차 본회의 개의 선포.
id_2028-AGENDA_2,음성군 장애인복지관 설치 및 운영 조례안은 음성군 장애인의 지역사회 생활에 필요한 종합적인 재활서비스 제공사업과 장애인 복지증진을 위하여 <장애인복지법>에 따라 설치한 장애인복지관의 운영에 관한 사항을 규정하고자 제정
id_2028-AGENDA_3,음성군 수입증지 조례 전부개정조례안은 국민권익위원회의 공공기관의 수입증지 등 각종 수수료 납부제도 개선 권고와 행정자치부의 민원 수수료의 종이수입증지 사용 폐지 방안이 시달됨에 따라서 종이수입
id_2028-AGENDA_4,"음성군 식품진흥기금 운용 조례 일부개정조례안은 법령용어를 순화하여 정비하고, 조례에 명기된 직능단체 명칭의 변경된 사항을 반영하는 한편 식품진흥기금심의위원회의 심의로 확정된 운용"
id_2028-AGENDA_5,12월 8일부터 12월 15일까지 휴회가 가결됨. 3차 본회의는 12월 16일 오전 10시에 개의.
id_2029-AGENDA_1,제243회 완주군의회 임시회 제1차 본회의 개의 선포.
id_2029-AGENDA_2,제243회 완주군의회 임시회 회기는 7월 16일부터 7월 25일까지 10일간으로 가결됨.
id_2029-AGENDA_3,제243회 완주군의회 임시회 회의록 서명의원으로 이인숙 의원과 소완섭 의원이 선출됨.
id_2029-AGENDA_4,제243회 완주군의회 임시회 기간 중 실시되는 군정질문에 대한 집행부 측의 책임있는 답변을 듣고자 7월 17일 제2차 본회의에 완주군수 등 관계 공무원의 출석을 요구하여 가결됨
id_2031-AGENDA_1,제204회 음성군의회 제1차 정례회 제1차 본회의 개의 선포.
id_2031-AGENDA_2,제204회 음성군의회 제1차 정례회 회기는 6월 22일부터 6월 30일까지 9일간으로 가결됨.
id_2031-AGENDA_3,"제204회 제1차 정례회 회의록 서명의원으로 반광홍 의원, 이한철 의원이 선출됨."
id_2031-AGENDA_4,"예산결산특별위원회위원은 반광홍 의원, 이한철 의원, 정태완 의원, 윤병승 의원, 정지태 의원, 윤창규 의원, 최임순 의원으로 구성함. 특별위원회는 6월 24일 하루 동안 6월 24일 하루 동안 운영"
id_2031-AGENDA_5,이월사업 현지확인 특별위원회 결과보고서가 채택됨.
id_2031-AGENDA_6,6월 23일부터 6월 24일까지 2일 동안 군정에 관한 질문 답변을 듣고자 군수 및 관계 공무원의 출석을 요구하여 가결됨.
id_2031-AGENDA_7,음성군 농공단지관리 및 조성사업자금관리 특별회계 설치 및 운영 조례 일부개정조례안은 음성군 농공단지관리 및 조성사업자금관리 특별회계 설치 및 운영 조례의 세출관련 규정을 확대하여
id_2031-AGENDA_8,"음성군 도시계획세 부과지역 변경승인안은 <국토의 계획 및 이용에 관한 법률>에 의하여 도시계획구역으로 결정되어 지형도면이 고시된 지역 내 토지와 건축물, 주택에 대하여 의회의"
id_2031-AGENDA_9,"감유재산 사용수익허가에 따른 사용료의 면제심의안은 <공유재산 및 물품관리법>의 제24조제1항4호 및 동법시행령 제17조제4항제4호, 제13"
id_2032-AGENDA_1,제177회 음성군의회 임시회 제1차 본회의 개의 선포.
id_2032-AGENDA_2,제177회 음성군의회 임시회 회기는 2월 12일까지 7일간으로 가결됨.
id_2032-AGENDA_3,제177회 음성군의회 임시회 회의록 서명의원으로 이한철 부의장과 반광홍 의원이 선출됨.
id_2032-AGENDA_4,"200복지시설 보조사업 현지확인 특별위원회 구성 결의안은 타 시군보다 사회복지시설이 많고 대형화되어 있어, 시설건립비 보조와 운영비 지원에 많은 예산이 투입되어 재정압박을 초래하여 상대적으로 전체 주민들을 위한"
